ID,First Name,Last Name,Email,Phone,Year Level,College,Course
2023-5033,JASON,ALLEN,21,Male,3rd,CCS - College Of Computer Studies,BSIT - Bachelor Of Science In Information Technology
2023-5015,DANIEL,ANDERSON,21,Male,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5042,CHRISTINA,BAKER,21,Female,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5089,GABRIEL,BRADLEY,21,Male,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5027,GEORGE,CLARK,21,Male,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5051,PETER,COLLINS,19,Male,1st,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5053,ALEXANDER,COOPER,21,Male,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5086,ZOE,CRAWFORD,21,Female,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2233-3434,FELIX,DELAYGO,33,Male,2nd,CCS - College Of Computer Studies,BSCA - Bachelor of Science In Computer Applications
2023-5068,AVA,FISHER,21,Female,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5095,DYLAN,FLETCHER,21,Male,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5071,DANIEL,FORD,21,Male,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5006,SARAH,GARCIA,21,Female,3rd,CCS - College Of Computer Studies,BSCA - Bachelor of Science In Computer Applications
2023-5024,RACHEL,GARCIA,21,Female,3rd,CCS - College Of Computer Studies,BSCA - Bachelor of Science In Computer Applications
2023-5083,SEBASTIAN,GRANT,21,Male,3rd,CCS - College Of Computer Studies,BSIT - Bachelor Of Science In Information Technology
2023-5077,DAVID,GRAY,21,Male,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5021,KEVIN,HARRIS,21,Male,3rd,CCS - College Of Computer Studies,BSCA - Bachelor of Science In Computer Applications
2023-5062,ISABELLA,HUGHES,21,Female,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5092,AUBREY,LAWSON,21,Female,3rd,CCS - College Of Computer Studies,BSIT - Bachelor Of Science In Information Technology
2023-5018,MICHELLE,LEE,21,Female,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5030,REBECCA,LEE,21,Female,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5074,ELIZABETH,MCDONALD,21,Female,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5080,SCARLETT,MCDONALD,21,Female,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5059,NATHAN,MORRIS,21,Male,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5056,SAMANTHA,POWELL,21,Female,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
2023-5009,ROBERT,RODRIGUEZ,21,Male,3rd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2024-0001,CARLO,SALADAGA,69,Male,2nd,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5039,BRANDON,SCOTT,21,Male,3rd,CCS - College Of Computer Studies,BSIT - Bachelor Of Science In Information Technology
2023-5065,JACOB,SIMMONS,21,Male,3rd,CCS - College Of Computer Studies,BSCA - Bachelor of Science In Computer Applications
2023-5001,JOHN,SMITH,19,Male,1st,CCS - College Of Computer Studies,BSCS - Bachelor Of Science In Computer Science
2023-5048,BRITTANY,TURNER,21,Female,3rd,CCS - College Of Computer Studies,BSIS - Bachelor Of Science In Information Systems
